Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
FRESNO.A,19820101,2359,0.11,,50,37,,,,,,,52,50,,136,,,
FRESNO.A,19820102,2359,0.13,,46,32,,,,,,,50,49,,121,,,
FRESNO.A,19820103,2359,0,,44,29,,,,,,,51,49,,144,,,
FRESNO.A,19820104,2359,0.99,,50,41,,,,,,,52,50,,147,,,
FRESNO.A,19820105,2359,0.13,,53,44,,,,,,,50,49,,146,,,
FRESNO.A,19820106,2359,0,,44,35,,,,,,,50,49,,145,,,
FRESNO.A,19820107,2359,0,,48,33,,,,,,,50,49,,138,,,
FRESNO.A,19820108,2359,0,,52,29,,,,,,,51,50,,156,,,
FRESNO.A,19820109,2359,0,,52,27,,,,,,,52,50,,151,,,
FRESNO.A,19820110,2359,0,,56,29,,,,,,,52,50,,146,,,
FRESNO.A,19820111,2359,0,,57,30,,,,,,,52,50,,149,,,
FRESNO.A,19820112,2359,0,,43,34,,,,,,,51,50,,140,,,
FRESNO.A,19820113,2359,0,,45,39,,,,,,,52,50,,182,,,
FRESNO.A,19820114,2359,0,,40,37,,,,,,,51,50,,156,,,
FRESNO.A,19820115,2359,0,,40,37,,,,,,,51,50,,154,,,
FRESNO.A,19820116,2359,0,,43,38,,,,,,,51,50,,167,,,
FRESNO.A,19820117,2359,0,,42,36,,,,,,,51,50,,181,,,
FRESNO.A,19820118,2359,0,,43,34,,,,,,,51,50,,197,,,
FRESNO.A,19820119,2359,0.17,,49,36,,,,,,,51,50,,199,,,
FRESNO.A,19820120,2359,0.24,,46,39,,,,,,,51,50,,196,,,
FRESNO.A,19820121,2359,0.22,,48,35,,,,,,,50,49,,179,,,
FRESNO.A,19820122,2359,0,,48,30,,,,,,,51,50,,190,,,
FRESNO.A,19820123,2359,0,,50,31,,,,,,,51,50,,183,,,
FRESNO.A,19820124,2359,0,,51,31,,,,,,,52,50,,176,,,
FRESNO.A,19820125,2359,0,,64,32,,,,,,,52,50,,198,,,
FRESNO.A,19820126,2359,0.09,,52,43,,,,,,,52,50,,193,,,
FRESNO.A,19820127,2359,0,,52,35,,,,,,,52,51,,181,,,
FRESNO.A,19820128,2359,0.03,,50,36,,,,,,,51,50,,199,,,
FRESNO.A,19820129,2359,0,,50,39,,,,,,,52,50,,212,,,
FRESNO.A,19820130,2359,0,,54,32,,,,,,,52,50,,231,,,
FRESNO.A,19820131,2359,0,,54,30,,,,,,,52,50,,229,,,
FRESNO.A,19820201,2359,0,,55,33,,,,,,,52,50,,239,,,
FRESNO.A,19820202,2359,0,,59,32,,,,,,,52,50,,214,,,
FRESNO.A,19820203,2359,0,,59,34,,,,,,,52,50,,237,,,
FRESNO.A,19820204,2359,0,,49,34,,,,,,,51,49,,239,,,
FRESNO.A,19820205,2359,0,,54,34,,,,,,,52,51,,248,,,
FRESNO.A,19820206,2359,0,,57,31,,,,,,,52,51,,241,,,
FRESNO.A,19820207,2359,0,,57,31,,,,,,,53,51,,245,,,
FRESNO.A,19820208,2359,0,,58,40,,,,,,,52,50,,227,,,
FRESNO.A,19820209,2359,0,,53,38,,,,,,,53,51,,238,,,
FRESNO.A,19820210,2359,0,,49,42,,,,,,,52,50,,266,,,
FRESNO.A,19820211,2359,0,,56,30,,,,,,,52,50,,249,,,
FRESNO.A,19820212,2359,0,,64,33,,,,,,,52,50,,241,,,
FRESNO.A,19820213,2359,0.04,,59,40,,,,,,,52,51,,237,,,
FRESNO.A,19820214,2359,0.2,,67,47,,,,,,,54,51,,316,,,
FRESNO.A,19820215,2359,0.23,,65,55,,,,,,,53,51,,283,,,
FRESNO.A,19820216,2359,0.11,,68,53,,,,,,,53,51,,235,,,
FRESNO.A,19820217,2359,0,,65,47,,,,,,,54,52,,257,,,
FRESNO.A,19820218,2359,0,,60,45,,,,,,,53,51,,256,,,
FRESNO.A,19820219,2359,0,,65,44,,,,,,,54,52,,253,,,
FRESNO.A,19820220,2359,0,,72,44,,,,,,,54,52,,292,,,
FRESNO.A,19820221,2359,0,,76,47,,,,,,,54,52,,284,,,
FRESNO.A,19820222,2359,0,,56,50,,,,,,,54,52,,287,,,
FRESNO.A,19820223,2359,0,,56,42,,,,,,,54,52,,292,,,
FRESNO.A,19820224,2359,0,,60,41,,,,,,,54,52,,310,,,
FRESNO.A,19820225,2359,0,,64,40,,,,,,,53,51,,296,,,
FRESNO.A,19820226,2359,0,,63,42,,,,,,,54,52,,317,,,
FRESNO.A,19820227,2359,0,,64,40,,,,,,,55,53,,300,,,
FRESNO.A,19820228,2359,0,,68,43,,,,,,,55,53,,321,,,
FRESNO.A,19820301,2359,0.35,,57,52,,,,,,,55,53,,333,,,
FRESNO.A,19820302,2359,0.02,,62,46,,,,,,,55,53,,305,,,
FRESNO.A,19820303,2359,0,,59,38,,,,,,,54,52,,324,,,
FRESNO.A,19820304,2359,0,,59,38,,,,,,,55,53,,329,,,
FRESNO.A,19820305,2359,0,,61,37,,,,,,,56,53,,315,,,
FRESNO.A,19820306,2359,0,,64,35,,,,,,,56,54,,344,,,
FRESNO.A,19820307,2359,0.01,,63,43,,,,,,,56,53,,367,,,
FRESNO.A,19820308,2359,0,,69,42,,,,,,,56,54,,365,,,
FRESNO.A,19820309,2359,0.15,,68,43,,,,,,,56,54,,362,,,
FRESNO.A,19820310,2359,0.2,,69,54,,,,,,,56,53,,356,,,
FRESNO.A,19820311,2359,0.36,,59,50,,,,,,,57,54,,387,,,
FRESNO.A,19820312,2359,0,,60,47,,,,,,,57,54,,400,,,
FRESNO.A,19820313,2359,0,,64,44,,,,,,,56,55,,385,,,
FRESNO.A,19820314,2359,0.82,,57,48,,,,,,,56,55,,406,,,
FRESNO.A,19820315,2359,0,,55,44,,,,,,,57,55,,381,,,
FRESNO.A,19820316,2359,0.59,,54,43,,,,,,,57,55,,396,,,
FRESNO.A,19820317,2359,0.16,,47,42,,,,,,,57,54,,400,,,
FRESNO.A,19820318,2359,0.44,,52,42,,,,,,,57,55,,410,,,
FRESNO.A,19820319,2359,0,,55,36,,,,,,,58,56,,410,,,
FRESNO.A,19820320,2359,0,,58,33,,,,,,,59,56,,395,,,
FRESNO.A,19820321,2359,0,,62,35,,,,,,,59,56,,429,,,
FRESNO.A,19820322,2359,0,,65,37,,,,,,,59,57,,430,,,
FRESNO.A,19820323,2359,0,,69,39,,,,,,,59,56,,424,,,
FRESNO.A,19820324,2359,0,,70,42,,,,,,,58,56,,429,,,
FRESNO.A,19820325,2359,0.18,,58,45,,,,,,,59,57,,407,,,
FRESNO.A,19820326,2359,0.11,,65,50,,,,,,,59,56,,443,,,
FRESNO.A,19820327,2359,0,,67,46,,,,,,,59,57,,461,,,
FRESNO.A,19820328,2359,0.33,,53,44,,,,,,,59,57,,456,,,
FRESNO.A,19820329,2359,0.17,,47,40,,,,,,,60,57,,454,,,
FRESNO.A,19820330,2359,0.02,,60,42,,,,,,,60,57,,486,,,
FRESNO.A,19820331,2359,0.85,,60,40,,,,,,,60,57,,472,,,
FRESNO.A,19820401,2359,0.18,,49,39,,,,,,,60,57,,475,,,
FRESNO.A,19820402,2359,0,,59,34,,,,,,,60,57,,504,,,
FRESNO.A,19820403,2359,0,,66,43,,,,,,,60,58,,487,,,
FRESNO.A,19820404,2359,0,,61,45,,,,,,,61,57,,485,,,
FRESNO.A,19820405,2359,0,,60,42,,,,,,,61,58,,481,,,
FRESNO.A,19820406,2359,0,,51,37,,,,,,,62,58,,512,,,
FRESNO.A,19820407,2359,0,,58,32,,,,,,,61,58,,498,,,
FRESNO.A,19820408,2359,0,,63,40,,,,,,,61,58,,498,,,
FRESNO.A,19820409,2359,0,,62,42,,,,,,,61,59,,532,,,
FRESNO.A,19820410,2359,0.57,,63,52,,,,,,,61,59,,516,,,
FRESNO.A,19820411,2359,0.14,,70,52,,,,,,,62,59,,474,,,
FRESNO.A,19820412,2359,0,,67,45,,,,,,,61,59,,524,,,
FRESNO.A,19820413,2359,0,,68,46,,,,,,,62,59,,509,,,
FRESNO.A,19820414,2359,0,,69,47,,,,,,,62,59,,516,,,
FRESNO.A,19820415,2359,0,,61,44,,,,,,,62,59,,517,,,
FRESNO.A,19820416,2359,0,,67,41,,,,,,,63,59,,484,,,
