Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
MERCED.A,19990101,1700,0,,62,34,,,,,,,,,,148,,,
MERCED.A,19990102,1700,0,,52,36,,,,,,,,,,141,,,
MERCED.A,19990103,1700,0,,45,36,,,,,,,,,,162,,,
MERCED.A,19990104,1700,0,,44,36,,,,,,,,,,166,,,
MERCED.A,19990105,1700,0,,41,33,,,,,,,,,,194,,,
MERCED.A,19990106,1700,0,,39,34,,,,,,,,,,177,,,
MERCED.A,19990107,1700,0,,40,32,,,,,,,,,,175,,,
MERCED.A,19990108,1700,0,,40,33,,,,,,,,,,174,,,
MERCED.A,19990109,1700,0,,40,33,,,,,,,,,,153,,,
MERCED.A,19990110,2359,0,,39,28,,,NE,2,,,45,41,,90,0,100,89.4
MERCED.A,19990111,2359,0,,45,27,,,NE,3,,,44,40,,110,0,100,86.8
MERCED.A,19990112,2359,0.01,,38,27,,,NE,3,,,43,40,,77,0,100,100
MERCED.A,19990113,2359,0,,52,26,,,NE,3,,,45,39,,175,0.02,100,72.6
MERCED.A,19990114,2359,0,,52,28,,,NE,3,,,45,40,,157,0.02,100,75.4
MERCED.A,19990115,2359,0.22,,60,38,,,NE,4,,,49,43,,177,0.03,100,71.2
MERCED.A,19990116,2359,0.11,,64,47,,,NE,4,,,52,47,,180,0.03,98.5,69.3
MERCED.A,19990117,2359,0,,70,49,,,SE,4,,,55,49,,240,0.06,98,50.1
MERCED.A,19990118,2359,0.1,,60,49,,,S,4,,,53,50,,95,0.02,97.2,81
MERCED.A,19990119,2359,0.46,,63,52,,,SE,8,,,55,52,,118,0.03,98.6,79.4
MERCED.A,19990120,2359,0.32,,56,50,,,SE,6,,,54,52,,29,,97.9,92.5
MERCED.A,19990121,2359,0,,59,40,,,NE,4,,,54,50,,274,0.05,100,60.3
MERCED.A,19990122,2359,0,,62,40,,,SE,4,,,54,48,,249,0.05,100,56.8
MERCED.A,19990123,2359,0.24,,53,43,,,NE,6,,,51,49,,53,0.01,99.6,77.6
MERCED.A,19990124,2359,0.01,,50,34,,,NE,5,,,50,46,,214,0.04,99.7,70.8
MERCED.A,19990125,2359,0.19,,43,39,,,SE,6,,,48,47,,62,0,98.8,91.1
MERCED.A,19990126,2359,0.22,,53,38,,,SE,8,,,50,46,,223,0.04,98.2,70.3
MERCED.A,19990127,2359,0,,46,29,,,NE,3,,,49,44,,120,0.01,100,82.8
MERCED.A,19990128,2359,0,,56,27,,,SE,3,,,49,41,,322,0.05,100,61.6
MERCED.A,19990129,2359,0,,61,27,,,SE,2,,,49,41,,315,0.05,100,53.5
MERCED.A,19990130,2359,0,,60,36,,,S,4,,,48,43,,132,0.04,99,48.4
MERCED.A,19990131,2359,0.24,,57,40,,,SE,7,,,50,46,,135,0.03,96.1,66.2
MERCED.A,19990201,2359,0,,54,30,,,NE,4,,,49,43,,288,0.04,100,70.2
