Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
WINTERS.A,19980101,2359,0,,56,34,,,,,,,47,45,,124,,,
WINTERS.A,19980102,2359,0.3,,57,47,,,,,,,49,47,,95,,,
WINTERS.A,19980103,2359,0.21,,59,44,,,,,,,50,49,,169,,,
WINTERS.A,19980104,2359,0.38,,54,32,,,,,,,50,49,,171,,,
WINTERS.A,19980105,2359,0,,52,29,,,,,,,49,47,,235,,,
WINTERS.A,19980106,2359,0.24,,47,31,,,,,,,48,46,,85,,,
WINTERS.A,19980107,2359,0.11,,46,40,,,,,,,47,47,,65,,,
WINTERS.A,19980108,2359,0,,49,41,,,,,,,48,47,,82,,,
WINTERS.A,19980109,2359,0.28,,49,44,,,,,,,49,48,,35,,,
WINTERS.A,19980110,2359,0.09,,55,48,,,,,,,50,48,,68,,,
WINTERS.A,19980111,2359,0.35,,55,50,,,,,,,51,50,,64,,,
WINTERS.A,19980112,2359,0.62,,56,47,,,,,,,52,51,,43,,,
WINTERS.A,19980113,2359,0.05,,56,41,,,,,,,52,50,,139,,,
WINTERS.A,19980114,2359,0.48,,51,48,,,,,,,51,51,,40,,,
WINTERS.A,19980115,2359,0.24,,53,50,,,,,,,51,51,,51,,,
WINTERS.A,19980116,2359,0.01,,60,50,,,,,,,53,51,,44,,,
WINTERS.A,19980117,2359,0,,65,47,,,,,,,54,52,,193,,,
WINTERS.A,19980118,2359,0.67,,55,41,,,,,,,54,53,,60,,,
WINTERS.A,19980119,2359,0.03,,51,38,,,,,,,53,50,,143,,,
WINTERS.A,19980120,2359,0,,54,35,,,,,,,51,49,,161,,,
WINTERS.A,19980121,2359,0,,55,31,,,,,,,50,48,,241,,,
WINTERS.A,19980122,2359,0,,56,36,,,,,,,50,48,,177,,,
WINTERS.A,19980123,2359,0,,50,40,,,,,,,50,49,,94,,,
WINTERS.A,19980124,2359,0,,58,39,,,,,,,51,49,,230,,,
WINTERS.A,19980125,2359,0,,47,39,,,,,,,51,50,,71,,,
WINTERS.A,19980126,2359,0.12,,51,44,,,,,,,50,50,,68,,,
WINTERS.A,19980127,2359,0.01,,57,44,,,,,,,51,50,,125,,,
WINTERS.A,19980128,2359,0,,54,49,,,,,,,52,51,,61,,,
WINTERS.A,19980129,2359,0.63,,60,43,,,,,,,53,51,,197,,,
WINTERS.A,19980130,2359,0,,55,36,,,,,,,53,51,,191,,,
WINTERS.A,19980131,2359,0.33,,59,41,,,,,,,52,50,,144,,,
