,Date,Station,Precip,Temp Max,Temp Min,Wind Speed,Soil Temp Max,Soil Temp Min,Solar,Humidity Max,Humidity Min
0,1982-06,FRESNO.A,0.0,89.143,60.714,6.571,78.571,73.714,591.286,83.929,33.329
1,1982-07,FRESNO.A,0.0,98.208,61.125,5.583,78.125,74.0,636.75,76.908,15.138
2,1982-08,FRESNO.A,0.0,99.391,63.0,5.348,78.217,75.0,557.13,77.37,14.43
3,1982-09,FRESNO.A,0.325,89.565,55.348,4.435,73.478,71.13,449.217,91.83,23.887
4,1982-10,FRESNO.A,0.004,81.968,44.355,4.032,65.71,63.032,327.613,95.577,25.632
5,1982-11,FRESNO.A,0.233,61.033,40.233,3.833,56.733,55.133,187.333,98.127,47.88
6,1982-12,FRESNO.A,0.096,56.952,34.333,3.714,50.762,48.952,135.238,98.457,46.138
7,1983-01,FRESNO.A,0.233,53.0,37.3,4.367,48.4,47.1,124.967,96.18,60.447
8,1983-02,FRESNO.A,0.152,64.885,41.885,4.654,52.962,50.731,216.038,98.131,65.569
9,1983-03,FRESNO.A,0.155,68.194,44.581,4.968,57.29,54.935,326.323,96.084,60.287
10,1983-04,FRESNO.A,0.081,72.133,43.7,5.667,59.867,56.8,458.533,92.387,36.74
11,1983-05,FRESNO.A,0.003,85.968,51.871,6.226,66.516,63.032,606.516,88.303,25.268
12,1983-06,FRESNO.A,0.0,93.1,57.167,6.2,74.3,70.567,639.133,81.737,17.15
13,1983-07,FRESNO.A,0.0,96.645,58.355,5.613,76.0,72.581,643.355,82.677,14.81
14,1983-08,FRESNO.A,0.004,99.484,63.677,4.258,78.161,75.226,512.129,81.432,22.758
15,1983-09,FRESNO.A,0.031,95.667,59.167,4.133,74.833,72.233,443.9,84.607,25.097
16,1983-10,FRESNO.A,0.014,85.467,50.133,3.367,68.333,65.533,320.767,91.673,32.253
17,1983-11,FRESNO.A,0.104,63.429,42.464,3.857,59.071,57.143,163.536,87.711,51.243
18,1983-12,FRESNO.A,0.082,57.276,41.862,4.069,53.0,51.621,127.655,87.238,61.869
19,1984-01,FRESNO.A,0.008,55.517,37.931,3.034,51.448,49.862,149.276,87.324,59.017
20,1984-02,FRESNO.A,0.047,61.963,37.185,3.926,52.222,49.63,293.407,85.193,40.026
21,1984-03,FRESNO.A,0.024,70.548,43.0,4.871,57.226,54.516,434.065,77.268,21.542
22,1984-04,FRESNO.A,0.008,72.5,44.567,6.333,61.8,59.033,549.667,61.427,15.133
23,1984-05,FRESNO.A,0.0,87.367,55.167,6.9,68.933,65.7,667.967,44.643,10.7
24,1984-06,FRESNO.A,0.008,90.267,58.233,5.767,75.433,71.7,689.233,50.133,10.597
25,1984-07,FRESNO.A,0.0,99.613,67.452,4.71,81.097,77.484,645.484,72.365,23.377
26,1984-08,FRESNO.A,0.0,95.517,63.966,4.828,79.103,75.793,581.31,81.817,25.417
27,1984-09,FRESNO.A,0.0,93.333,61.6,4.1,76.433,74.067,491.0,83.33,23.613
28,1984-10,FRESNO.A,0.026,73.387,46.903,3.935,65.903,63.645,341.903,93.906,43.584
29,1984-11,FRESNO.A,0.072,63.519,41.222,4.259,57.593,56.0,208.037,96.463,59.293
30,1984-12,FRESNO.A,0.091,53.556,36.63,4.185,50.778,49.778,139.63,95.3,69.189
31,1985-01,FRESNO.A,0.023,48.419,32.581,3.032,47.903,46.839,126.355,96.887,76.79
32,1985-02,FRESNO.A,0.037,63.571,35.286,3.321,49.321,46.964,298.786,93.832,46.568
33,1985-03,FRESNO.A,0.059,63.8,38.6,4.833,54.2,51.7,392.733,91.103,43.287
34,1985-04,FRESNO.A,0.003,80.033,49.2,5.267,63.567,60.467,562.3,69.95,19.857
35,1985-05,FRESNO.A,0.0,82.517,52.276,6.069,69.828,65.793,660.966,82.672,26.028
36,1985-06,FRESNO.A,0.013,95.433,62.9,4.933,86.633,73.3,680.233,80.067,22.993
37,1985-07,FRESNO.A,0.001,98.839,66.581,4.677,88.29,76.806,618.419,81.016,19.81
38,1985-08,FRESNO.A,0.0,93.323,60.226,4.419,85.935,71.968,610.387,90.013,23.797
39,1985-09,FRESNO.A,0.0,83.464,57.107,4.679,81.5,67.893,454.714,89.554,38.843
40,1985-10,FRESNO.A,0.0,79.571,46.0,2.929,70.357,59.0,401.429,87.25,30.579
41,1985-11,FRESNO.A,0.044,67.286,42.143,3.286,59.286,53.286,247.429,100.0,62.357
42,1985-12,FRESNO.A,0.021,46.852,35.556,2.519,47.778,44.926,113.778,99.344,87.541
43,1986-01,FRESNO.A,0.051,60.742,44.452,3.387,54.29,50.323,161.613,96.229,74.087
44,1986-02,FRESNO.A,0.156,63.296,44.222,4.889,55.407,51.074,242.0,94.7,68.263
45,1986-03,FRESNO.A,0.069,69.903,47.097,3.645,59.355,55.419,353.0,94.645,64.694
46,1986-04,FRESNO.A,0.033,73.933,46.6,4.9,64.5,57.967,535.033,90.967,37.8
47,1986-05,FRESNO.A,0.004,84.516,52.452,5.581,74.452,63.968,589.29,79.655,20.577
48,1986-06,FRESNO.A,0.0,92.643,59.786,6.0,79.643,70.286,700.786,75.518,16.046
49,1986-07,FRESNO.A,0.0,95.3,62.833,4.967,82.067,72.6,648.233,70.627,15.193
50,1986-08,FRESNO.A,0.0,99.233,63.2,4.567,83.067,73.233,586.933,75.66,11.407
51,1986-09,FRESNO.A,0.0,92.455,58.909,4.182,80.364,69.455,505.909,82.009,15.709
52,1986-10,FRESNO.A,0.0,80.0,48.839,3.548,67.968,59.677,350.161,83.861,27.045
53,1986-11,FRESNO.A,0.003,70.167,38.967,3.0,57.767,55.467,247.0,84.387,31.077
54,1986-12,FRESNO.A,0.054,53.548,37.968,2.903,50.935,49.613,109.871,86.777,67.223
55,1987-01,FRESNO.A,0.074,52.645,35.065,3.484,47.065,45.581,156.258,84.839,62.171
56,1987-02,FRESNO.A,0.088,62.679,40.214,3.786,51.5,49.5,273.107,83.896,45.954
57,1987-03,FRESNO.A,0.085,66.129,42.935,3.935,54.968,52.645,366.581,83.645,44.158
58,1987-04,FRESNO.A,0.001,82.033,48.9,4.333,63.0,59.567,536.567,80.903,22.183
59,1987-05,FRESNO.A,0.005,86.452,55.742,5.387,71.097,67.613,604.161,74.619,18.097
60,1987-06,FRESNO.A,0.0,93.444,60.278,5.5,75.778,72.333,642.5,67.722,14.156
61,1987-07,FRESNO.A,0.0,91.65,59.05,5.7,76.7,74.0,649.5,65.905,13.255
62,1987-08,FRESNO.A,0.0,95.806,61.774,4.677,77.129,74.355,581.258,71.745,12.465
63,1987-09,FRESNO.A,0.0,90.828,57.517,3.759,73.724,71.379,440.862,73.21,14.903
64,1987-10,FRESNO.A,0.028,83.065,55.0,3.387,69.065,67.29,323.323,83.152,34.81
65,1987-11,FRESNO.A,0.017,63.714,42.179,3.143,59.036,57.429,195.107,96.093,60.65
