,Date,Commodity,Commodity Details,Measurement,Unit,Unit Details,Domain Category,Value
128,2022-01,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
129,2022-01,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
130,2022-01,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
131,2022-01,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,66.9
132,2022-01,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,10
133,2022-01,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (S)
134,2022-01,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
135,2022-01,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,13.1
136,2022-01,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,266
137,2022-01,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,3
138,2022-01,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,255
139,2022-01,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,275
140,2022-01,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,285
141,2022-01,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,31.8
142,2022-01,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
143,2022-01,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,12
144,2022-01,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
145,2022-01,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
253,2021-04,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
254,2021-04,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
255,2021-04,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
256,2021-04,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (S)
257,2021-04,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (NA)
258,2021-04,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
259,2021-04,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,8.3
260,2021-04,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"400,000"
261,2021-04,GRAPEFRUIT,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"100,000"
262,2021-04,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,216
263,2021-04,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,3
264,2021-04,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,200
265,2021-04,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,230
266,2021-04,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,245
267,2021-04,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,700,000"
268,2021-04,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"500,000"
269,2021-04,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"4,900,000"
270,2021-04,ORANGES,"MID & NAVEL, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"5,000,000"
271,2021-04,ORANGES,"MID & NAVEL, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"2,200,000"
272,2021-04,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"2,100,000"
273,2021-04,ORANGES,"VALENCIA, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"400,000"
274,2021-04,ORANGES,"VALENCIA, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"100,000"
275,2021-04,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.4
276,2021-04,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
277,2021-04,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,2
