,Date,Commodity,Data Item,Domain,Domain Category,Value,Precip,Temp Max,Temp Min,Wind Speed,Soil Temp Max,Soil Temp Min,Solar,Humidity Max,Humidity Min,day_1_colonies_California,day_1_colonies_United States,lost_colonies_California,lost_colonies_United States,percent_lost_California,percent_lost_United States
3,2022-01,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,66.9,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
4,2022-01,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,10.0,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
7,2022-01,COTTON,"COTTON, UPLAND - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,13.1,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
8,2022-01,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,266.0,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
9,2022-01,HAY,"HAY - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,3.0,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
10,2022-01,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,255.0,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
11,2022-01,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,275.0,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
12,2022-01,HAY,"HAY, ALFALFA, PREMIUM - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,285.0,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
13,2022-01,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,31.8,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
15,2022-01,WHEAT,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,12.0,0.03966666666666667,55.44433333333333,32.55566666666667,0.0,50.0,48.55566666666667,190.0,99.66666666666667,60.55566666666667,1020000,2875770,163000,331780,12,12
24,2021-04,COTTON,"COTTON, UPLAND - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,8.3,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
